주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
405-2-000021,한림리 1281-9,공영,노외,,제주특별자치도 제주시 한림읍 한림리 1281-9,17,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4161776,126.2659504,,2026-04-16
405-2-000022,"한림리 1304-10, 1304-11, 1287-7",공영,노외,,제주특별자치도 제주시 한림읍 한림리 1304-10,31,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4157407,126.2656516,,2026-04-16
405-2-000023,한림리 1314-160,공영,노외,,제주특별자치도 제주시 한림읍 한림리 1314-160,12,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4169588,126.2636417,,2026-04-16
405-2-000024,한림리 1314-163,공영,노외,,제주특별자치도 제주시 한림읍 한림리 1314-163,8,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4169464,126.2638374,,2026-04-16
405-2-000025,한림리 1328-63,공영,노외,,제주특별자치도 제주시 한림읍 한림리 1328-63,6,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.415945,126.2625377,,2026-04-16
405-2-000026,"한림리 1333-24, 1333-37",공영,노외,,제주특별자치도 제주시 한림읍 한림리 1333-24,11,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.414362,126.2618837,,2026-04-16
405-2-000027,한림리 1368-1,공영,노외,,제주특별자치도 제주시 한림읍 한림리 1368-1,6,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4138694,126.2623741,,2026-04-16
405-2-000028,"한림리 1368-3,1368-7,1333-9,1333-12",공영,노외,,제주특별자치도 제주시 한림읍 한림리 1368-3,30,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4139001,126.2621283,,2026-04-16
405-2-000029,한림리 1371-36,공영,노외,,제주특별자치도 제주시 한림읍 한림리 1371-36,2,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4134198,126.2611363,,2026-04-16
405-2-000030,"한림리 1389-2,4,7, 1446-10",공영,노외,,제주특별자치도 제주시 한림읍 한림리 1389-2,31,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4129715,126.2623552,,2026-04-16
405-2-000031,"한림리 1397,1397-1,1438-1",공영,노외,,제주특별자치도 제주시 한림읍 한림리 1397,10,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.413395,126.2628457,,2026-04-16
405-2-000032,한림리 551-8,공영,노외,,제주특별자치도 제주시 한림읍 한림리 551-8,6,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4149975,126.2706427,,2026-04-16
405-2-000033,한림리 905-12,공영,노외,,제주특별자치도 제주시 한림읍 한림리 905-12,7,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4117521,126.268233,,2026-04-16
405-2-000034,한림리 905-35,공영,노외,,제주특별자치도 제주시 한림읍 한림리 905-35,17,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4112873,126.2687027,,2026-04-16
405-2-000035,한림리 905-5,공영,노외,,제주특별자치도 제주시 한림읍 한림리 905-5,10,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4109991,126.2674246,,2026-04-16
405-2-000037,"한림리 1022-2, 1023-3",공영,노외,,제주특별자치도 제주시 한림읍 한림리 1022-2,33,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4148061,126.2678807,,2026-04-16
405-2-000038,"협재리 1467-1, 1468-1",공영,노외,,제주특별자치도 제주시 한림읍 협재리 1467-1,25,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.3979662,126.2448461,,2026-04-16
405-2-000039,"협재리 1603, 1604, 1909, 1910-1",공영,노외,,제주특별자치도 제주시 한림읍 협재리 1603,37,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.3967466,126.245008,,2026-04-16
405-2-000040,협재리 1666-1,공영,노외,,제주특별자치도 제주시 한림읍 협재리 1666-1,7,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.3977362,126.2433941,,2026-04-16
405-2-000041,협재리 1689-2,공영,노외,,제주특별자치도 제주시 한림읍 협재리 1689-2,8,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.3976125,126.2430604,,2026-04-16
405-2-000042,협재리 2514,공영,노외,,제주특별자치도 제주시 한림읍 협재리 2514,44,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.3930848,126.240701,,2026-04-16
405-2-000043,협재리 2514-20,공영,노외,,제주특별자치도 제주시 한림읍 협재리 2514-20,10,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.3929265,126.2408952,,2026-04-16
405-2-000044,협재리 2516,공영,노외,,제주특별자치도 제주시 한림읍 협재리 2516,15,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.3928519,126.2407674,,2026-04-16
